intent,query,Answer
가족,"누나가 혼내는 게 아니라, 다 이해한다고 그러는데 진심으로 고마웠어.",그렇군요. 가족에 대해 더 말씀해주실 수 있으세요?
가족,"남편이 4형제 중에 둘째인데, 시어머니가 남편을 별로 안 좋아하는 것 같아요.",그런 가족을 가지고 계시군요.
가족,"가족한테 말을 아직 안했지만, 제가 아무 말 없으니까 엄마도 아마 결과가 안 좋다는 건 아시는 것 같아요.",
가족,그래도 가족인데 서로가 쓴 돈이 그렇게 아까운가…,
가족,저 자식은 나이가 몇인데 아직도 정신을 못 차렸지?,
가족,집으로 뭔 고지서가 날아 왔는데 쟤 신용 카드인 거야.,
가족,그리고 다음에 쓴 소설에서는 가정폭력범인 아버지가 나와요.,
가족,우리 집이 대대로 다 법조계에서 일하거든.,
가족,가족들한테 말해봤자 다들 별로 안 좋아할 것 같아…,
가족,제일 스트레스 받았던 건 가족들이 저를 유난이라고 취급하는 거였어요.,
가족,아직까지는 별 문제 없어요. 근데 부모님이 저희를 안 보려고 하세요.,
가족,근데 우리 할머니가 그런 내 반대쪽 손을 잡고 절대 안 놔주는 거야.,
가족,그러다 할머니가 나를 확 잡아당겨서 품에 안겼어.,
가족,할머니가 갑자기 내 등을 밀더니 얼른 뛰래. 그래서 뛰었다가 깼어.,
가족/갈등,나갔다가 들어왔더니 엄마가 뭐라는 줄 알아? ,그런 일이 있으셨군요. 가족은 가까운 만큼 어려운 존재인 것 같아요.
가족/갈등,"언니는 커튼을 자주 치는데, 제가 자꾸 못 하게 막으니까… 집에서 나가고 싶대요.",너무 편한 사이라 서로 상처를 주는 일이 많이 생기는 거 같아요. 힘내세요.
가족/갈등,새언니도 별로 잘난 건 없거든? ,그러셨군요. 많이 속상했겠어요. 
가족/갈등,괜히 오빠 주눅들게 왜 그러나 싶어.,
가족/갈등,"아빠 없이 엄마, 누나랑 살았는데 그때 정말 많이 싸웠어.",
가족/갈등,평소에도 다들 괜히 버찌 째려보고 싫어하고 그랬거든.,
가족/갈등,"처음엔 분위기가 좋았는데, 고모님이 입을 열면서 점점 엉망진창으로 변했어요.",
가족/갈등,그래서 어머니도 가만히 계신데 왜 고모님이 나서서 그러시냐고 한 마디 했거든요?,
가족/갈등,행복한 가정은 바라지도 않아요.,
가족/갈등,이 집안 사람들은 나를 얼마나 괴롭혀야 속이 시원한지 모르겠어.,
가족/갈등,"당신은 애들한테 신경이나 쓴 적 있냐, 늦게 들어올 때 내 눈치 본 적 있냐, 내가 힘들다고 하면 뭘 그렇게 잘 해줬냐고…",속상하셨겠어요. 하지만 타인의 말보다 당신의 생각이 더 중요하답니다.
가족/갈등,자기 마누라를 갖고 놀았다나..뭐라나…,갈등은 언제나 어렵죠. 저에게 계속 말씀해주시면 함께 고민해드릴게요.
가족/갈등,참다 참다가 도저히 안 되겠다 싶어서 한 소리 했더니 삐친거지.,
가족/갈등,첨엔 싫은 티만 내더니 나중에는 당연하게 안 끼고 그냥 하겠다고 그러더라고요.,
가족/갈등,그럼 죽어라고 째려봐요. 사람 죽일 듯이.,
가족/갈등,"그러더니 하는 말이, 나보고 유난 떤대.",
가족/갈등,내가 왜 이렇게 늦게 들어오냐고 한마디 하면 완전 나를 철없는 사람 취급하는 거야.,
가족/갈등,버릇이 없다나 뭐라나.,정말 기분이 많이 상하셨겠어요. 지금은 괜찮으신가요?
